title	type	url_slug	venue	date	location	talk_url	description
Assembly bias and galaxy conformity in cosmo-dc2	Talk	talk-1	"III Workshop on the halo-galaxy
Connection"	2023-07-01	Atacama, Chile	https://sites.google.com/uda.cl/atacama-2023/	In my talk I will present my partial results in the search for Galaxy Assembly Bias in observational data. We focus on how the alignments between central and satellite galaxies vary according to their morphology and color (known as galactic conformity), using cosmoDC2 galaxy catalogs. These catalogs were designed to generate a data-set similar to future LSST surveys to obtain predictions that can be evaluated in the context of future LSST results.
Evolution of the dark matter haloes shapes	Talk	talk-2	"4th Regional Extragalactic Astronomy
Meeting, 60 Years Of The Sersic Law"	2023-12-04	Córdoba, Argentina	https://extragalacticmeeting.conicet.unc.edu.ar/	In this work, we aim at investigating the morphology evolution of Milky Way mass-like dark matter haloes  selected from the  CIELO  and IllustrisTNG Projects. The connection between halo shapes and their environment has been studied in previous works at z=0 but their connection remains yet to be fully understood. We focus on the evolution across cosmic time of the halo shapes and the relation with the infalling material, using hydrodynamical simulations. Our findings show that haloes tend to be more triaxial at earlier times as a consequence of stronger accretion in the direction of the filaments. As the haloes evolve towards a dominant isotropic accretion mode and relaxation, their shape at 20 percent of the virial radius becomes more spherical. In agreement with previous results, baryons have an important effect within the inner regions of the haloes, driving them from triaxial to rounder shapes. We also find a correlation between the strength of the quadrupole infalling mode and the degree of ellipticity of the haloes: as the filament strength decreases steadily with redshift, the haloes became more spherical and less elliptical.  
Fingerprints of modified gravity effects on galaxies in voids	Talk	talk-3	1 st Rio DM meeting	2023-05-01	Rio de Janeiro,Brazil	https://www.youtube.com/@CBPFMCTI	"We search for detectable signatures of 𝑓 (𝑅) gravity and its chameleon screening mechanism in the baryonic and dark matter
(DM) properties of simulated void galaxies. The enhancement of the gravitational acceleration can have a meaningful impact on
the scaling relations as well as on the halo morphology."
Redshift evolution of the dark matter haloes shapes	Talk	talk-4	A journey through galactic environments	2023-10-01	Porto Ercole, Italy	https://galaxylifecycle.wixsite.com/galacticjourney	"In this work, we aim at investigating the morphology evolution of Milky Way mass-like dark matter haloes selected from the CIELO
and IllustrisTNG Projects. The connection between halo shapes and their environment has been studied in previous works at

z=0. We focus on the evolution across cosmic time of the halo shapes and the relation with the infalling material."
Feedback por binarias de rayos x sobre el ism y el igm	Poster	Poster-1	64th Annual Reunion of the Argentinian Astronomy Association	2022-09-01	Buenos Aires,Argentina	https://www.fisica.org.ar/2022/05/05/64a-reunion-anual-de-la-asociacion-argentina-de-astronomia-primera-circular/	"Las caracterçisticas de las primeras generaciones de estrellas, formadas en el Amanecer Còsmico
(cuando el Universo tenía una edad de entre 108 Y 109 años) y su influencia en la evolucón posterior de las
galaxias, son tópicos fundamentales de investigación en astrofísica extragaláctica. Recientemente, diversos autores
han mostrado la importancia de las binarias de rayos X como agentes de inyección de energía sobre el medio
circundante en esa  ́epoca. La determinación de las características de sus poblaciones es entonces importante
para comprender en profundidad los efectos sobre la regulación de la formación estelar cósmica o la reionización
del medio intergaláctico, entre otros. El cálculo de los efectos del feedback en el Amanecer Còsmico requiere la
implementación de simulaciones numéricas cosmológicas hidrodinámicas, debido a que los mecanismos físicos que
determinan la transferencia de materia y energía entre el gas y las estrellas son altamente no lineales, y ocurren
en diversas escalas de tiempo, longitud y masa. En este trabajo presentaremos un modelo semiempírico para la
luminosidad y el tamaño de las poblaciones de binarias de rayos X de alta masa en galaxias con formación estelar
activa en el Universo temprano. Nuestros resultados preliminares sugieren que el feedback producido por estas
poblaciones tendría un efecto apreciable sobre el ISM a altos redshifts, y que el mismo sería comparable al efecto
del feedback producido por explosiones de supernovas."
Study on the evolution of dark matter haloes in CIELO simulations	Talk	Talk-5	64th Annual Reunion of the Argentinian Astronomy Association, 	2022-09-01	Buenos Aires,Argentina	https://www.fisica.org.ar/2022/05/05/64a-reunion-anual-de-la-asociacion-argentina-de-astronomia-primera-circular/	This article analyze the dark matter (dm) halo evolution through time. For this study we use a Milky Way like haloes subsample from CIELO (ChemodynamIcal propertiEs of gaLaxies and the cOsmic web) project. This project aims at studying the formation of galaxies in different environments using zoom-ins simulations. We analyse the relation of the properties of the dm haloes in the inner and outer regions. In particular, we inspect the effects on the halo shapes and the assembly process.
 Fingerprints of modified gravity effects on galaxies in voids	Talk	Talk-6	63th Annual Reunion of the Argentinian Astronomy Association	2021-09-01	San Luis, Argentina	https://www.fisica.org.ar/2022/05/05/63a-reunion-anual-de-la-asociacion-argentina-de-astronomia-primera-circular/	We found in this article that for a given stellarmass, 𝑓 (𝑅) gravity tends to produce greater maximum velocities. On the other hand, the mass in haloes in 𝑓 (𝑅) gravity is more concentrated than their counterparts in GR. This trend changes when the concentration is calculated with the dynamical density profile, which takes into account the unscreened outer regions of the halo. Stellar discs interact with the overall potential well in the central regions, modifying the morphology of the screening regions and reshaping them. We find a trend for galaxies with a more dominant stellar disc to deviate further from round screening regions. We find that small haloes are less triaxial and more round in 𝑓 (𝑅) than their GR counterparts. The difference between halo morphology becomes smaller in 𝑓 (𝑅) haloes whose inner regions are screened. These results suggest possible observables that could unveil modified gravity effects on galaxies in voids in future cosmological tests of gravity.
Baryons shaping dark matter haloes	Talk	Talk-7	II Reunion Bi-National AAA-SOCHIAS	2018-10-01	La Serena, Chile	https://sochias.cl/second-binational-meeting-aaa-sochias/	In this work we aim at investigating the effects of baryons on the dark matter (DM) haloes structure, focusing on the correlation between the presence and importance of stellar discs and the halo shapes. We study the properties of a subsample of DM haloes from Fenix and eagle cosmological simulations.
Studying the dark matter halo shape	Talk	Talk-8	Friends-of-friends virtual meeting	2018-08-01	Cordoba, Argentina		
"Estudio numérico de los halos de materia
oscura en simulaciones cosmológicas"	Talk	Talk-9	n 60th Annual Reunion of the Argentinian Astronomy Association	2017-08-01	Mendoza, Argentina	http://www.astronomiaargentina.org.ar/reuniones	
